Degree,Specialization,YearOfPassing,CGPA,Certifications,JobRole
M.Tech,CE,2019,7.4,8,Software Engineer
B.Tech,CSE,2023,6.63,3,Data Analyst
B.Tech,CE,2018,7.58,17,Software Engineer
M.Tech,AI,2023,8.63,14,AI Developer
M.Tech,ML,2015,6.52,6,Data Scientist
B.Tech,CSE,2018,6.52,11,Software Engineer
B.Tech,IT,2020,8.7,12,Software Engineer
M.Tech,ML,2022,7.72,18,AI Developer
Other,CE,2019,6.24,20,Software Engineer
PhD,IT,2018,7.45,3,Software Engineer
M.Tech,ML,2016,6.24,8,Manager
B.Tech,IT,2020,6.24,6,Data Analyst
B.Tech,AI,2016,7.09,20,ML Developer
M.Tech,CSE,2022,4.5,13,Software Engineer
B.Tech,DS,2023,4.73,8,Data Scientist
BCA,ML,2018,6.13,2,AI Developer
B.Tech,CE,2024,5.58,11,Software Engineer
B.Tech,IT,2022,7.18,5,Data Analyst
B.Tech,ML,2023,5.71,9,Data Scientist
M.Tech,DS,2021,5.11,12,Data Analyst
Other,IT,2016,8.56,2,Software Engineer
B.Tech,CSE,2021,6.53,20,Software Engineer
B.Tech,IT,2022,6.88,17,Software Engineer
B.Tech,AI,2015,5.09,4,Data Scientist
PhD,ML,2020,6.15,4,Manager
B.Tech,IT,2019,6.93,17,Software Engineer
BCA,IT,2016,5.42,10,Software Engineer
BCA,IT,2018,7.25,5,Data Analyst
BCA,IT,2023,6.08,1,Data Analyst
M.Tech,CSE,2020,6.45,10,Software Engineer
B.Tech,CSE,2024,6.08,3,Software Engineer
BCA,ML,2023,9.02,5,AI Developer
M.Tech,IT,2019,6.78,17,Software Engineer
PhD,IT,2018,5.53,18,Software Engineer
BCA,AI,2019,7.79,13,Data Scientist
M.Tech,IT,2023,5.33,15,Software Engineer
B.Tech,CSE,2020,7.05,1,Software Engineer
M.Tech,CE,2015,4.45,8,Software Engineer
Other,DS,2016,5.21,17,Data Analyst
M.Tech,CSE,2017,7.04,19,Software Engineer
M.Tech,CSE,2022,7.69,14,Software Engineer
B.Tech,CE,2021,7.01,12,Software Engineer
B.Tech,IT,2015,6.66,4,Software Engineer
B.Tech,CSE,2016,6.44,8,Software Engineer
B.Tech,IT,2021,5.03,6,Data Analyst
M.Tech,DS,2016,5.94,15,Data Scientist
PhD,CE,2023,6.25,1,Software Engineer
Other,ML,2017,8.07,14,ML Developer
B.Tech,IT,2015,7.21,6,Data Analyst
B.Tech,IT,2022,4.68,10,Software Engineer
B.Tech,Other,2023,7.19,16,Software Engineer
B.Tech,CSE,2015,6.34,19,Software Engineer
BCA,CE,2020,5.99,2,Software Engineer
M.Tech,IT,2023,7.53,6,Software Engineer
Other,CE,2017,8.04,3,Software Engineer
M.Tech,CSE,2016,7.92,19,Software Engineer
B.Tech,AI,2024,5.79,3,ML Developer
M.Tech,AI,2020,6.43,9,Software Engineer
M.Tech,CSE,2019,7.2,13,Software Engineer
B.Tech,AI,2022,7.97,11,Data Scientist
Other,CE,2024,6.22,19,Software Engineer
Other,CE,2018,6.58,17,Software Engineer
B.Tech,DS,2016,5.47,8,Data Analyst
B.Tech,ML,2019,5.36,20,Data Scientist
M.Tech,AI,2023,7.78,10,Data Scientist
B.Tech,DS,2019,8.43,4,Data Scientist
BCA,CSE,2019,6.71,20,Software Engineer
B.Tech,CSE,2019,8.0,17,Software Engineer
M.Tech,DS,2015,7.23,3,Data Scientist
BCA,CE,2020,6.03,5,Data Analyst
B.Tech,IT,2021,7.23,18,Software Engineer
B.Tech,CE,2017,8.65,18,Software Engineer
B.Tech,IT,2023,6.76,5,Data Analyst
B.Tech,CSE,2015,8.68,12,Software Engineer
B.Tech,CSE,2016,3.66,12,Software Engineer
